shape	Ip	Fp	N_x	N_y	D	A	B	beta	E	COF	LCC	h_min
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.95	0.004311714765368066	2975.70482766155	3.752151810091772e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.96	0.0036240330689908287	3902.951240014428	3.0004350581493e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.97	0.002933204486973834	5487.660734371726	2.2501147684461734e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.98	0.0022224109301470403	8755.839986614214	1.5020926021219014e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.985	0.0018454273257128308	12090.480564437314	1.1252452237085984e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.1	0.16542669338909818	27.392135622908107	6.750014225357624e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.2	0.6243001875245935	7.386686757105682	6.000001859509245e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.3	0.1297218689561231	34.78933248335892	5.250000897456718e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.4	0.08173249709325685	56.75063061796525	4.50006672870506e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.5	0.05620114454103797	87.37141106013415	3.750058046728207e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.6	0.03745895742121572	141.62225523328647	3.000122520504074e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.7	0.02427602183243406	243.93215909039102	2.250020985785807e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.8	0.014370539633273498	483.41227592284577	1.5000730907006414e-05
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.9	0.006790887420883155	1354.4074032695005	7.500026807603851e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.91	0.006153935130134424	1560.660284730626	6.750025443219912e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.92	0.0055471095174337345	1818.42952139992	6.000000430192911e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.93	0.004976459179272159	2146.8176309254163	5.2501799886266155e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.94	0.004438335446387914	2571.3323956138565	4.501148278836902e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.95	0.003949007438031535	3128.659956301619	3.7516824454712935e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.96	0.003520406803611191	3866.455252881865	3.000000010796408e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.97	0.003201750629251751	4849.964317598049	2.252181224150401e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.98	0.003031864178813143	6137.6777894775105	1.5015706435515945e-06
C-7	0	1.0	3	10	0.0001005	0.0005	0	0	0.985	0.002945592062434774	7264.689928745467	1.125080203685011e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.1	0.09193568191977591	48.402729246632994	6.75002693095646e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.2	0.3075892156882847	14.83415707282526	6.000002166800759e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.3	0.031881592115511524	119.74565195087646	5.2500143423700036e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.4	0.02682582983157028	157.77387838878641	4.5000007216198494e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.5	0.027312821307093515	174.76319293481882	3.7500888271398985e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.6	0.03919221103739953	140.0885509203991	3.0000023570437425e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.7	0.02630308321684162	234.32569323978885	2.250028506732524e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.8	0.01600151488554496	450.81192909432195	1.5001421388021728e-05
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.9	0.007761848352834688	1218.7689695368363	7.500150879948516e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.91	0.007033564329766483	1403.4107136114053	6.750538208251221e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.92	0.006323524342349667	1639.1084876225536	6.001747408513716e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.93	0.005624226292808017	1948.615555460353	5.251172712009721e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.94	0.004939105890113676	2370.2211259416326	4.500009479449795e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.95	0.004262594568746153	2973.830672018515	3.7525366961855762e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.96	0.003582811242182612	3901.3084941744723	3.0003581478297374e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.97	0.002906399302079025	5486.308941837783	2.2500950058786826e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.98	0.002203432850924754	8754.812081707913	1.5020519784377516e-06
C-8	240	1.0	3	10	0.0001005	0.0005	0	0	0.985	0.0018315172227302498	12089.620986147806	1.1252543039163592e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.1	0.3472805799584772	10.972124585997454	6.750008630827666e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.2	0.17128648670451374	22.987655512991772	6.000021115580744e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.3	0.10809746052935469	37.79443505018537	5.2500810098944735e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.4	0.07367019957125166	57.86166998011044	4.5000419807896334e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.5	0.05125264517172667	87.67614023341159	3.750008379468061e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.6	0.03529459665629935	136.67607732506747	3.000002895462141e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.7	0.023393448823181163	228.45908087825597	2.250070300667952e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.8	0.01426065183414307	439.9110490338981	1.5000254476186685e-05
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.9	0.007120359573376278	1194.0389724405227	7.501154939567855e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.91	0.0064811903841088475	1375.7027313271903	6.750371025305784e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.92	0.005854702428090664	1607.4544553525118	6.0000045832194674e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.93	0.00523518384806782	1911.7232883903478	5.251013168266147e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.94	0.004625426470180164	2326.394518767529	4.501009644382503e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.95	0.0040207270103573825	2920.5244379565224	3.7504848510436753e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.96	0.0034163199368314615	3831.6859434929283	3.0001194686174097e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.97	0.0027954605360005435	5391.763961680159	2.250262780884704e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.98	0.00213651970698673	8602.167682821313	1.5005446623762767e-06
C-9	120	0.23	1	6	1e-06	0.0005	0	0	0.985	0.001787959875725557	11883.270092760398	1.1261945066811522e-06
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.1	0.3504929301702236	10.961370350544756	6.750019477009435e-05
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.2	0.1722513944185136	22.968053374712724	6.000049772924586e-05
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.3	0.1087758784187062	37.660410862033466	5.250043568352208e-05
C-10	120	1.0	1	6	1e-06	0.0005	0	0	0.4	0.07458428472897226	57.21487166097211	4.5000539632489236e-05
